音游	ybyz
⻍	buuz
⿇	buuz
⽝	buuz
⻰	buuz
⼇	buuz
⼎	buuz
⼍	buuz
⺭	buuz
⻂	buuz
⻎	buuz
⻂	buuz
⻌	buuz
⻈	buuz
⼷	buuz
⿅	buuz
⼗	buuz
⽳	buuz
⽀	buuz
⼶	buuz
⺾	buuz
⺿	buuz
⺹	buuz
⽼	buuz
⼠	buuz
⿆	buuz
⺺	buuz
⾞	buuz
⼤	buuz
⼶	buuz
⽘	buuz
⺨	buuz
⻋	buuz
⼒	buuz
⺨	buuz
⼪	buuz
⺐	buuz
⼁	buuz
⼱	buuz
⽱	buuz
⺌	buuz
⾪	buuz
⺦	buuz
⻔	buuz
⽚	buuz
⺊	buuz
⺻	buuz
⾍	buuz
⾮	buuz
⻀	buuz
⼍	buuz
⾾	buuz
⺉	buuz
⾀	buuz
⼌	buuz
⺆	buuz
⾲	buuz
⼉	buuz
⼀	buuz
⽽	buuz
⻚	buuz
⾴	buuz
⾣	buuz
⻄	buuz
⺩	buuz
⽟	buuz
⼚	buuz
⺂	buuz
⾄	buuz
⼲	buuz
⾆	buuz
⽆	buuz
⾬	buuz
⻗	buuz
⻃	buuz
⼯	buuz
⼆	buuz
⽰	buuz
⺬	buuz
⾠	buuz
⽍	buuz
⽯	buuz
⿀	buuz
⾖	buuz
⾗	buuz
⺎	buuz
⾑	buuz
⼕	buuz
⼖	buuz
⽛	buuz
⺛	buuz
⽡	buuz
⾯	buuz
⼅	buuz
⼸	buuz
⾊	buuz
⾓	buuz
⻇	buuz
⻆	buuz
⼩	buuz
⼦	buuz
⼣	buuz
⽭	buuz
⾇	buuz
⽨	buuz
⼜	buuz
⻏	buuz
⻖	buuz
⼹	buuz
⼵	buuz
⽋	buuz
⻜	buuz
⾶	buuz
⼄	buuz
⺄	buuz
⻠	buuz
⻢	buuz
⿂	buuz
⻲	buuz
⻥	buuz
⻳	buuz
⿔	buuz
⺪	buuz
⽦	buuz
⼈	buuz
⾁	buuz
⾫	buuz
⼊	buuz
⾷	buuz
⻝	buuz
⻞	buuz
⻟	buuz
⺮	buuz
⽸	buuz
⽮	buuz
⺙	buuz
⽓	buuz
⻐	buuz
⿕	buuz
⼼	buuz
⻓	buuz
⽐	buuz
⻦	buuz
⼿	buuz
⽾	buuz
⾭	buuz
⻘	buuz
⻨	buuz
⻙	buuz
⼝	buuz
⾢	buuz
⻪	buuz
⺒	buuz
⺠	buuz
⿌	buuz
⻊	buuz
⾜	buuz
⼫	buuz
⼑	buuz
⾽	buuz
⽿	buuz
⼙	buuz
⾂	buuz
⺕	buuz
⻒	buuz
⽻	buuz
⾧	buuz
⻑	buuz
⾺	buuz
⼰	buuz
⺋	buuz
⿋	buuz
⺷	buuz
⾸	buuz
⾰	buuz
⻩	buuz
⽢	buuz
⺸	buuz
⿈	buuz
⽺	buuz
⺶	buuz
⼭	buuz
⼔	buuz
⼬	buuz
⾿	buuz
⼬	buuz
⾋	buuz
⼥	buuz
⼛	buuz
⼳	buuz
⺓	buuz
⽷	buuz
⺯	buuz
⼐	buuz
⺃	buuz
⽙	buuz
⺔	buuz
⺰	buuz
⻡	buuz
⼮	buuz
⽥	buuz
⺲	buuz
⾥	buuz
⿊	buuz
⽏	buuz
⺫	buuz
⺟	buuz
⼘	buuz
⿓	buuz
⽁	buuz
⼴	buuz
⽅	buuz
⾐	buuz
⽃	buuz
⽂	buuz
⻬	buuz
⻫	buuz
⽌	buuz
⺡	buuz
⾔	buuz
⿒	buuz
⻭	buuz
⻮	buuz
⺞	buuz
⻍	buuz
⾌	buuz
⻁	buuz
⾼	buuz
⽴	buuz
⾳	buuz
⾟	buuz
⻯	buuz
⽞	buuz
⿄	buuz
⻧	buuz
⿑	buuz
日	a
曰	a
⿱	a
昌	aa
昍	aa
𭥗	aa
晶	aaa
晿	aaa
𣊫	aaaa
𣊭	aaaa
𪱈	aaaa
𱗷	aaag
曑	aaah
𣊖	aaak
𬁬	aaal
曡	aaam
曐	aaam
㬪	aaam
曟	aaav
𣇵	aab
𩩪	aabb
𰖦	aabr
㬈	aabt
𰤼	aabt
𱢕	aabu
覸	aabu
𣈁	aad
𭬀	aadd
𰤮	aadh
𠭒	aae
焸	aaf
𪹕	aaf
𪹶	aaf
𬊘	aaf
𭨖	aafc
𤏒	aaff
𭧌	aafu
𰖹	aagt
鷼	aaha
𪂇	aaha
𩴦	aahi
暒	aahm
㫀	aahm
𭦠	aaht
𣈲	aahu
𤬆	aahv
𦦄	aahx
𣌸	aail
𭥳	aaj
龧	aaja
𰖊	aajk
𣉬	aajn
暥	aajv
㫜	aam
𤦉	aamg
暘	aamh
𣈜	aami
晘	aamj
𣉆	aamo
㫯	aamu
𣊐	aamv
𣊺	aana
𰷙	aanb
𭧴	aand
𣋆	aang
𣊱	aanh
𱢤	aanh
𣌙	aank
𣣘	aano
𱢚	aano
𰖻	aanw
𢛝	aap
晹	aaph
𣈀	aapp
暍	aapv
𲍽	aapy
𣋁	aase
𰷙	aash
曝	aate
𭨋	aatj
𭨃	aatp
𣌈	aatr
𪱆	aatv
𣌑	aaud
𭦂	aav
㬤	aavf
𭧸	aavo
暻	aayf
𮲗	aayk
𣈫	aayt
𣌝	aayv
明	ab
冐	ab
𣊧	abab
暝	abac
曖	abbe
暧	abbe
𣆹	abbm
𣊬	abbq
盟	abbt
覵	abbu
𧡜	abbu
𣌬	abcm
𣉇	abcn
𣈄	abd
𣈃	abdu
焽	abf
𣇧	abf
𬊚	abf
𭎮	abg
𣉁	abgb
㬊	abge
晭	abgr
㿢	abha
鷳	abha
𪂡	abha
𱈯	abha
𧖽	abhb
㬙	abhf
䳟	abhf
𢒠	abhh
𬀪	abhu
𭧏	abhx
𢧠	abi
猒	abik
𡒦	abik
曌	abjc
暈	abjj
暉	abjj
𣋐	abjk
𢢤	abjr
𣈎	abkd
㬗	abkf
𥀦	abkh
晕	abkq
晖	abkq
𣌰	abks
𫦱	abks
𩓷	abmb
𭦈	abmc
暖	abme
㬊	abme
𣈂	abmg
𱼫	abmg
琞	abmg
𣅣	abmm
𣅧	abmm
𱵗	abmm
𭨄	abmp
晍	abmr
勗	abms
𭦊	abnd
𢄾	abni
𬁐	abod
暩	abof
𢽵	abok
暚	abou
𢜏	abp
𱊂	abpm
晭	abqr
𣅻	abr
𭥤	abr
𪰭	absd
𦑉	absm
𭞕	absp
𩣶	absq
昷	abt
𧂓	abti
𬁨	abtk
𦎨	abtq
𭦗	abts
𪓲	abtu
冒	abu
𧴴	abuc
𣇜	abuc
𣌗	abue
𰟀	abuf
㬬	abug
晛	abuu
㒻	abuu
𣊕	abuv
𡕺	abvi
𭧎	abvk
𣉰	abwd
㬭	abwi
𣌄	abws
𣇴	abyc
𢽢	abye
𭧯	abyh
𮲤	ac
𭨆	acav
𬐿	acbt
𫎥	acbu
𣅝	ace
𭥨	ache
𣋥	achh
昖	aci
暡	acim
𭧗	acjd
𧖙	aclm
顕	acmb
𩔰	acmb
𲊿	acmb
𬀲	acmk
晜	acnh
𬀹	acnh
𮷬	acnl
𣤞	acno
𪴯	acno
𬅮	acno
㫟	acr
𫞃	acr
𣇋	acru
昐	acsh
𣌥	acsh
𱢖	acst
𭨏	actl
𩎍	actl
㬝	acwa
杲	ad
𠕖	ad
𣇿	ada
𭬀	adad
𣉎	adam
𰖁	adb
𱢦	adbb
𣉎	adbm
晽	add
𣇰	add
𣋜	addf
鷴	adha
𪈚	adha
𢒳	adhh
𣚤	adhh
晰	adhl
𣌯	adhn
𤜔	adhq
时	adi
𬁟	adi
𱢐	adiu
昩	adj
𣅡	adk
𠟘	adln
𪰐	adm
𮲞	adm
𩓢	admb
𩔏	admb
𣉴	admg
暐	admq
𨜍	adnl
𭧔	adoe
𣈕	adok
𪰪	adoo
𣇏	adr
𣉫	adtq
𰖍	adw
暕	adwf
𠕭	adyj
𭥚	ae
𰖔	aea
㿺	aedh
𥀗	aedh
𬀮	aedi
𣉕	aeed
𣇽	aeee
𪇰	aeha
𣋰	aehn
𩙕	aehn
𣉔	aeii
𱢶	aeir
𰖟	aeiv
𪱅	aeja
𠢝	aeks
𭥺	aem
𣆙	aemj
鄤	aenl
𪱕	aenl
𩁠	aeog
𰖠	aeog
𢿜	aeok
𣀠	aeok
㬁	aeor
𱊲	aepy
𪰤	aev
𫱥	aev
𢿕	aeye
𣀛	aeye
𧞈	aeyh
𣁜	aeyk
炅	af
炚	af
𣌢	af
𭴋	af
𣆺	afb
𰖤	afbb
曭	afbf
𣇢	afbf
𣊶	afbk
𭧨	afbk
㫾	afbr
𭧋	afbu
㫧	afd
𭥻	afd
𭨇	afdb
暽	afdq
𰖚	afdv
晱	aff
𪱓	affe
𭧲	afff
𣊞	affo
𪱌	affs
𣌤	afh
𪆣	afha
影	afhh
𣋹	afkt
㔀	afln
𠠁	afln
顯	afmb
顥	afmb
𩓺	afmb
𫖢	afmb
颢	afmb
𭥽	afmc
𣉖	afmm
晃	afmu
晄	afmu
歞	afno
𭧟	afno
𰙏	afno
㫠	afq
㒽	afqu
𭦣	afqu
㷖	afsh
𰖂	afsm
𮶎	afsm
𱵸	afvv
𢀍	afvv
𭨗	afwr
䯫	afyr
圼	ag
𣆀	agb
曀	agbt
㬨	agcc
𣇾	agce
𬀻	agcg
𭦩	agcu
時	agdi
㫭	agdi
𪱖	agdk
𬖻	agfd
晆	agg
𭨍	aggc
𣈹	aggg
曉	aggu
𬁕	aggu
𥣷	aghd
毀	aghn
㫢	agi
𢧄	agi
𪰰	agil
𭨎	agir
𬁃	agis
𱢥	agiu
𣊎	agji
𣊎	agjk
㫱	aglc
𣇐	aglc
𬀾	agll
𣋬	agni
𣊌	agog
𣇌	agp
𮡛	agqh
𪰙	agr
𭨉	agrg
𣌐	agrm
暿	agrr
𰖢	agsk
𲇃	agtb
𣊝	agtd
𣈑	agtj
𣉊	agtu
𣆷	agug
𣋺	agwc
𪰹	agwg
𠃜	ah
𣅩	aha
𣆆	aha
𭧘	ahaf
𣈷	ahag
暭	ahaj
暤	ahaj
𭦸	ahak
𣊷	ahap
𣆿	ahau
𬚳	ahb
𣋉	ahbk
㫼	ahbn
𪰮	ahbn
晌	ahbr
晑	ahbr
眉	ahbu
𣆢	ahbu
𪱔	ahbu
𮙸	ahbu
𣆔	ahby
𥂺	ahcm
𣊜	ahco
𱢋	ahdd
𭦏	ahdn
𣊩	ahdw
昄	ahe
𠬮	ahe
𣇔	ahej
昸	ahem
㫡	ahem
𰖋	aheo
𪰠	aheq
𭥵	aher
𰖶	ahet
𭧐	aheu
昸	ahey
㫡	ahey
𤈌	ahf
𡮤	ahf
𰪰	ahfd
𡮩	ahfh
𱏭	ahfm
曛	ahgf
𣊳	ahgf
晧	ahgr
𰖅	ahgu
鶍	ahha
𪃌	ahha
𦤋	ahhb
𥟙	ahhd
𥟟	ahhd
𢒗	ahhh
𣉧	ahhk
昴	ahhl
𬁋	ahhl
𭦢	ahhl
𣂨	ahhm
𭥥	ahhn
䬗	ahhn
𣉺	ahhq
𰖝	ahhw
㦹	ahi
𣋇	ahie
𣉷	ahif
𣉝	ahij
𣉝	ahik
𣆅	ahio
𣆦	ahjd
𪰴	ahje
𬁇	ahjg
𣇦	ahjm
𭥹	ahjr
𮲝	ahk
𰖒	ahka
㬖	ahkr
𠢃	ahks
𣈭	ahlb
𪰢	ahll
剔	ahln
𭃶	ahln
𭦡	ahlo
𱢡	ahma
𣉷	ahmf
𣈨	ahmj
昕	ahml
𰑶	ahmp
𭧜	ahnd
𰕶	ahne
𭧞	ahnh
𣈼	ahni
𣈟	ahnj
𣈟	ahnk
𬪉	ahnl
𬪌	ahnl
𭭐	ahno
𣆎	ahnq
㫟	ahnr
𣉹	ahod
𬁊	ahod
𠭲	ahoe
暀	ahog
𣇭	ahog
𣈧	ahog
𰖿	ahog
敭	ahok
𥏬	ahok
𫾻	ahok
𣊗	ahol
𣆯	ahon
暰	ahoo
晷	ahor
𱢩	ahor
𭧮	ahos
𭦶	ahov
惖	ahp
𣅒	ahp
𭝓	ahp
𣇲	ahpa
𭧚	ahpd
𣌸	ahpl
𰖄	ahpl
㫝	ahpm
𣅫	ahq
𤘵	ahq
𣇕	ahqi
星	ahqm
甠	ahqm
昳	ahqo
晧	ahqr
𪰌	ahqu
𭦵	ahrg
𣈛	ahrn
昈	ahs
𣉥	ahse
𭨌	ahsf
𭧺	ahsf
曒	ahsk
㫹	ahsl
𣌸	ahsl
𰭤	ahsm
𣇯	ahss
𱢅	ahsu
昇	aht
𣅮	aht
𪞋	ahtc
𥂺	ahtc
𣌒	ahtg
𰖽	ahuc
暞	ahud
𣉨	ahui
曍	ahuj
𣊊	ahum
㫝	ahvi
昂	ahvl
𪱁	ahwg
𣈢	ahwj
𣆵	ahx
𣋱	ahxc
𮲦	ahxe
𣈵	ahxo
𭦺	ahxo
𣉃	ahxs
晲	ahxu
𱢲	ahxu
𣌿	ahya
敡	ahye
𢾙	ahye
𣋇	ahyk
晷	ahyr
旷	ai
𮲜	ai
𣈗	aia
㫰	aiav
㬍	aibi
𥋹	aibu
𬁛	aicc
晙	aice
𭦕	aice
𣊍	aidd
𡬠	aidi
𣋟	aidi
𬊏	aif
𣇚	aife
㬕	aifq
𣆮	aig
𣆈	aih
鵖	aiha
𬁛	aihc
𣆒	aihi
𣆭	aihi
𱢟	aihn
𣮊	aihq
晟	aihs
晠	aihs
𠕠	aihs
𭥠	aihu
𱢏	aihv
昿	aii
𱢞	aiib
𬁈	aiil
晡	aijb
𭥢	aije
𪰽	aijj
𣅤	aik
𮲛	aik
㬙	aikf
昽	aikp
㬖	aikr
𪟙	aiks
𱡼	aiks
𣈠	aikt
𭧠	aile
𣌮	aill
𪰢	aill
𠠡	ailn
𪰼	ailr
䫀	aimb
𣇝	aimi
𣇝	aiml
既	aiml
𣇈	aimu
𭥊	aimu
𤮦	aimv
𬎬	aimv
既	aimv
昹	aine
㫤	aine
𣢣	aino
𠊛	aio
𭦥	aioi
𱢈	aiok
𫴮	aiom
𭔳	aipd
𣋳	aipf
𪰜	aipm
𱉝	aipy
𭥿	aiq
𣅿	air
㬃	airf
𠘀	airm
𠘀	airy
昈	ais
𠮊	aisj
即	aisl
䳭	aisl
𱉼	aisl
𣇯	aiss
昪	ait
曠	aitc
𣋷	aitc
𬁛	aitc
𣌏	aito
𱢞	aivb
𣊈	aixp
𣈔	aiyr
𣈘	aiyr
早	aj
旪	aj
𭧶	ajaf
𨷝	ajam
昁	ajb
𭧃	ajbb
𣉮	ajbc
𭦬	ajbc
㫲	ajbd
𱟛	ajbi
暔	ajbj
𣈍	ajbm
𣇣	ajbm
𬁁	ajbm
𣇣	ajbv
𭦑	ajce
𭦿	ajce
𣈞	ajcm
𣇬	ajcn
𣋶	ajcn
𭦒	ajcn
𬁎	ajcr
昧	ajd
𣇆	ajd
𤿧	ajdh
𱡺	aje
𪸣	ajf
𬁄	ajgn
䳚	ajha
𭦞	ajhg
𪫉	ajhh
𣇟	ajhq
𬀵	ajhq
𣭸	ajhq
𰖸	ajhw
𢧀	aji
𭧄	ajia
𰖺	ajic
𰖜	ajid
暷	ajii
𭧧	ajii
𰍯	ajik
𪱇	ajip
𣈻	ajir
𣊿	ajjb
𣋂	ajjb
𢻣	ajje
𣊙	ajjl
暑	ajka
暏	ajka
㫴	ajkd
曢	ajkf
𪰧	ajki
𪰚	ajkp
𰕹	ajks
𣆘	ajlk
㫸	ajlo
𣋪	ajmc
𣊇	ajmc
𪱄	ajmc
𮲠	ajmd
𣇼	ajmf
𰿠	ajmk
暄	ajmm
𭦤	ajmo
晥	ajmu
𬁗	ajmw
𰖀	ajng
𨚰	ajnl
𨛎	ajnl
晼	ajnu
𮲨	ajoc
𨿑	ajog
𭦝	ajoi
𢽎	ajok
𭦜	ajom
𭦝	ajom
𭥡	ajon
𱢴	ajoo
𣅸	ajp
𰕴	ajp
𣉟	ajpa
晓	ajpu
𱉶	ajpy
𱢜	ajqr
𬀬	ajr
𣌔	ajrc
𱢍	ajrr
𰖇	ajru
𭅸	ajsl
𭧥	ajtc
𠘗	ajtm
暁	ajtu
𠘗	ajty
𣋢	ajuu
晏	ajv
㫨	ajv
𭧵	ajwv
㪋	ajye
𰖓	ajyk
𭧓	ajyr
𭧓	ajyr
𣃸	ajys
旲	ak
𭥏	ak
𭥯	akb
𬡿	akbu
暸	akcf
𣉜	akde
𭥱	akdi
𬀯	akf
𡋵	akg
𡑅	akg
𣈐	akg
𭦭	akgg
𪱂	akha
𬁑	akha
𱢃	akhf
𰖌	akhg
𭧤	akja
𪰫	akjt
晞	akkb
𣆱	akld
𧋯	akli
昦	akll
晻	aklu
晻	aklv
𩓌	akmb
𬱉	akmb
𭦛	akmf
晇	akms
𩉂	akmw
𩉎	akmw
旯	akn
𣆰	akn
𣅢	aknj
𨛴	aknl
𩞹	akoi
𩞹	akom
𣇍	akoo
㦔	akp
𢡻	akp
𢣮	akp
𪬒	akp
𭞘	akp
𢵤	akq
㫑	aks
𪰘	aksr
𭦀	akss
𦀤	akvf
𪒞	akwg
𠁣	al
𣌦	al
𫡆	ala
𨳈	alal
映	albk
𪰔	albk
𣋡	albo
𣅟	albu
𱢣	alcq
𣇨	ale
𠬩	ale
𣌻	alfl
堲	alg
𪃹	alha
𮭅	alha
𬁅	alim
𣉗	alkt
𣅕	alll
昲	alln
𭧖	allv
𭧫	almc
𰀤	almg
𣆣	almi
𰲭	almi
晁	almo
晀	almo
𣌫	almp
𣅬	almp
𰖵	almt
暃	almy
㫵	almy
曊	alnc
𣆜	alnm
𠨠	alno
𣣝	alno
𪰶	alno
𬻴	aloi
𬻴	alom
𱢣	alqq
𠘀	alrm
𠘀	alry
𨂢	alry
𱢎	alsh
𬁘	alsw
𡷦	alu
𰕼	alwl
㫣	alwu
㫣	alwv
㬘	alx
𣉦	alxl
𣊾	alyp
旦	am
𪰆	am
𭥐	am
𣇖	ama
𱡿	ama
𪰲	amad
晅	amam
曘	ambb
𣊵	ambb
暊	ambc
𣌊	ambe
𰖖	ambe
曤	ambg
𪱑	ambg
曇	ambi
曧	ambi
㬡	ambi
𣊯	ambi
㬉	ambk
㬡	ambl
𣆝	ambl
𣇥	ambm
𣌟	ambo
𮲟	ambo
𬀼	ambs
𣋔	ambu
𧡰	ambu
𧡶	ambu
㬐	amca
𣋗	amca
𱢭	amco
晒	amcw
𰕿	amcw
旴	amd
㝵	amdi
昄	ame
𭥒	ame
𣌛	amec
𰖞	amed
𬀯	amf
𬊏	amf
𠕰	amfb
𣍓	amfb
𭨁	amfb
𪰓	amfj
𣆏	amfm
㬕	amfq
𣇊	amfr
旺	amg
𭥕	amg
㬄	amgc
𪰑	amgi
𫞂	amgi
𭧇	amgk
𠕥	amgn
𭦄	amgt
鴠	amha
𪄚	amha
𪰬	amhd
𤋁	amhf
𣌌	amhh
𣌅	amhm
𣆽	amhn
𪰝	amhn
毾	amhq
𬁚	amhx
戥	ami
𢧫	ami
㬐	amia
晊	amig
旱	amj
旰	amj
𬁖	amjh
𣊟	amjk
𢙶	amjp
𣊋	amjr
𭥹	amjr
𡝎	amjv
昊	amk
𣅐	amk
𭥔	amk
𰖒	amka
𪱑	amkg
昮	amks
𠡎	amks
𰅊	amks
𰕵	amks
𣆳	amlk
𣇅	amll
𪰢	amll
𪰥	amlm
𰖐	amlm
𠛣	amln
𠞈	amln
𫦡	amln
𭧼	amls
𣄾	amm
𩑰	ammb
𲊱	ammb
𲊷	ammb
𪻹	ammg
𣌜	ammh
昙	ammi
𭥓	ammi
晸	ammk
𪰱	ammk
𫝝	ammk
𣆞	ammm
曬	ammp
晤	ammr
𣅘	amms
𣅙	amms
𪰈	ammu
𭥖	ammu
晨	ammv
𤭼	ammv
𣄿	amn
𭥌	amn
㫤	amne
𫝝	amnk
𮟻	amnl
𬀰	amnn
𣤞	amno
𪰏	amnr
昃	amo
𣌁	amoa
𣌂	amoa
昺	amob
昞	amob
𭦷	amob
𪱎	amom
𪱊	amom
𪱎	amom
𰁉	amon
𢘇	amp
𰖡	ampc
𱢀	amps
𱉗	ampy
𰖳	ampy
𪰒	amr
㬏	amrb
𰖉	amrt
鼂	amru
鼌	amru
𮲚	ams
𣇗	amse
昜	amsh
𬀶	amsh
昻	amsl
𣆃	amsm
𧰮	amso
𱢛	amsp
曞	amtb
𭧻	amtb
㫫	amtc
𣊥	amtf
𰖈	amth
𬀽	amtj
㫕	amu
𣇎	amun
𣉓	amvg
𣅥	amvm
𣇁	amvm
𰕱	amvs
𣆧	amvu
𣈺	amwb
𭧅	amwd
𬉨	amwe
㬓	amwf
𣊠	amwf
量	amwg
𭧰	amwg
曋	amwj
𣊢	amwj
𣉋	amwv
